authorJobLocation,reviewHeadline,reviewDescription,reviewDate,authorJob,company
"Thiruvananthapuram, KL",,"Lots of learning opportunities,•a typical day at work,•what you learned,•management,•your co-workers,•the hardest part of the job,•the most enjoyable part of the job",14 juillet 2014,Technical Lead,Allianz Group
"Adelaide, SA",,"It was a great working environment and it was great to have normal 9 - 5 hours and all weekends and public holidays off, unlike the Police Force",1 juillet 2014,Major Claims Consultant,Allianz Group
"Golden Valley, MN",,"Allianz overall is a great company to work for, great benefits and pay. There is a lot of employee engagment opportunities , but also depends on the area you work in, if you can attend or not.",30 juin 2014,Fixed Annuity Contact Center Representative,Allianz Group
"Bangalore, KA",,"Good company to work and lead the life.,Learned to address mass crowd and training.",29 juin 2014,Area Manager,Allianz Group
"jabalpur,mp",,"Team handling,direct sales,audit,and having a good relationship making knowledge with customers for long time",26 juin 2014,Relationship manager,Allianz Group
Bristol,,"Varied and challenging role, every day is different. Friendly atmosphere working very closely as a team. Main responsibility is Health & Safety.,Dealing with both internal and external customers.",24 juin 2014,BUSINESS SUPPORT ASSISTANT & FACILITATOR,Allianz Group
Bethlehem PA,,Management delegates their entire job on to the team and you are doing more than your job tile which does not match the salary. Manager enables people on the team to spy and convey information back to manager where you are called in guilty before you can say anything. The hours can hinder your personal life especially if you have little kids and like to get together with your family on xmas eve....you may be stuck there til 8pm. I found the day to be watched by big brother and not a positive experience. If you want to go back to grade school this is the place otherwise I would stay where you are and remain an adult.,19 juin 2014,Account Specialist,Allianz Group
"Richmond, VA",,"typical day at work. You come in greet your associates /co workers. Review your emails. Prioritize your day. Attend meetings. Conduct Focus Sessions. Monitor calls. Always on floor to ensure associate support. Pay roll. Attendance. Monitor SLA's, AHT, ACW,ATT. Stay in contact with Command Center and IT. Take escalated calls. Email updates to department and leadership.,EOD report for sales and retail.",14 juin 2014,Team Leader,Allianz Group
"Henrico, VA",,Excellent company to work for. Friendly and caring work environment. Would highly recommend this company for anyone seeking employment.,11 juin 2014,Mastercard Service Specialist,Allianz Group
Birmingham,,"Allianz was a fantastic company to work for, the people, the place and the attitude all suited my style of work.,I learnt the claim cycle in more depth than ever read about and my eyes were opened to the importance of claims management.,My colleagues were helpful, kind, and most of all always open to encouragement and criticism.,The hardest part of my work was to talk a client through a claim that sometimes they were unaware that they would not be covered for.,The most enjoyable part of my job was finding elements of the claim that would fall into our clients favor and potentially saving the client vast amounts of money.",4 juin 2014,Claims Advisor,Allianz Group
