sentence;package & benefits;work culture;job description & take outs;relationship with management;team;general appreciation;career & progression
A typical day would start by reviewing the emails and actions to be done accordingly followed by a lot of learning extra and also from the mistakes;;;;;;;
A good place to start your career, but easy to get lost in org changes, company politics, and inhuman laddering practices;;;;;;;
,Compensation increases not comparable with industry $$$$ elsewhere;;;;;;;
OK to work with, timimg is an issue;;;;;;;
 Otherwise good company to work with;;;;;;;
40 hours in a week starts at 10;;;;;;;
m and ends 7 p;;;;;;;
 everyday with specific work allocation everyday;;;;;;;
 Learned decision making, finishing work on expected time, quick response to a customer query, delivery quality work;;;;;;;
It's a consulting job, which is truly client focused;;;;;;;
 Most of the time we are at client site;;;;;;;
 The quality of project is quite high;;;;;;;
 The co-workers are very supportive;;;;;;;
 I build my technical and functional skill sets;;;;;;;
I work for a spectacular company in redmond Washington;;;;;;;
 Microsoft has provided me with multiple opportunities;;;;;;;
 I travel the world and learn everyday about what a leader to do and know to grow;;;;;;;
 I lead multiple people in the field and network with various different cultures;;;;;;;
 It gives me the chance to cultivate my expertise in the industry;;;;;;;
 A typical work day is filled with many meeting and face time with co-workers, training and travel;;;;;;;
 The hardest part of my job is the time away from my husband and children;;;;;;;
 The most enjoyable part is the amount of knowledge that I bring to the table with all the experience and time invested;;;;;;;
Great company to for with great benefit;;;;;;;
 I planning achieve than just more any thing further skills in the field;;;;;;;
 I recommended any is greatest to work;;;;;;;
Waking up to work each day is fun;;;;;;;
 Faced with new challenges and the resources at your disposal to achieve success is the exciting part of my job;;;;;;;
 Collaboration with colleagues is very important as a team member;;;;;;;
 Hardest part is the ability to work with global colleagues across different time zones;;;;;;;
 Enjoying part of the job is the recognition you get when you achieve success and the incentives that comes with it;;;;;;;
I like the flexibility to work from home but the pay and OT are not balanced;;;;;;;
 I work many hours with limited assistance and am not as well paid as many of the FT teams;;;;;;;
able to expand my knowledge,Good Leaning,able to handle my team,oppurtunities were given based on capability,Good Company to work;;;;;;;
I had a truly rewarding experience at Deloitte Corporate Finance;;;;;;;
 The firm fosters a uniquely entrepreneurial culture, and entry-level employees are given a significant amount of responsibility from Day 1, enabling them to make important decisions and learn/grow in the process;;;;;;;
 I have nothing but great things to say about Deloitte Corporate Finance, and highly recommend the firm for anyone trying to break into the investment banking industry;;;;;;;
Highly Process oriented organization with lot of opportunities to learn;;;;;;;
,Has varied kind of projects in multiple locations hence lot of flexibility;;;;;;;
 Good work life balance;;;;;;;
Nice place to start your career in corporate field;;;;;;;
 Employee friendly, good pay;;;;;;;
,Learnt a lot of coding,Hardest part of the job was to survive without mobile phones since it was a secured working bay,Enjoyable environment, good and understanding clients, co workers;;;;;;;
-Learned good communication skills,-Had good relations with management,-Enjoyed working with my co-workers;;;;;;;
Google is a great place to work;;;;;;;
 A lot of great people and there is so much to learn;;;;;;;
Product: Accenture Duck Creek ,Role: BA lead for Policy and Billing,LOB: Umbrella, Auto Personal and Commercial Insurance ,Profile: Off Shore BA lead to manage more than 3000 requirements;;;;;;;
 It requirement gathering, elicitation, documentation, confirmation, requirement management, req walkthrough to dev and test team, change management, test scenario verification and validation;;;;;;;
Feel great to work here;;;;;;;
 We have flexibility to work here;;;;;;;
 It is emplyee friendly;;;;;;;
Great place for self-learners in marketing domain;;;;;;;
 great co-workers always striving for learning;;;;;;;
 ,Great challenges to overcome;;;;;;;
Microsoft is a great place to work;;;;;;;
 In my job I am able to improve and create, to learn and to teach, and be all I can be;;;;;;;
 Related to work life balance, it has it all;;;;;;;
 I work remotely from home and am in charge of a multi country environment;;;;;;;
 You are really able to enjoy what you do every day!;;;;;;;
Worked very Long hours;;;;;;;
 Very goal oriented;;;;;;;
,Good benefits;;;;;;;
There are a lot of pros working for Accenutre;;;;;;;
 They have great career opportunities, a never ending supply of interesting work, competitive compensation, wonderful benefits, great people, wonderful training programs, a tremendous number of brilliant professionals in their fields ready to help, and great core values;;;;;;;
Fun to work with no micro management and good food;;;;;;;
 Opportunity to work on good Technology and good Vendor hardware;;;;;;;
 Typical day include working on projects and deploy network;;;;;;;
The work culture is great and productive;;;;;;;
